easting,northing,site,nest
617232.558,3350767.182,N,trump
617387.6701,3350687.594,N,triasly
617451.1267,3350553.691,N,deermigrant
617464.4333,3350619.827,N,deerfeeder
617367.4777,3351116.191,N,fish_ponds
617104.416,3350880.027,N,ravine
617065.1841,3350917.193,N,pecan
617567.5,3350386,N,armadillo
